1000
134	753	509	667	242	220	
618	447	795	199	534	219	
332	760	743	231	358	411	
459	456	292	91	325	157	
32	61	258	488	110	378	
105	727	262	567	336	399	
447	674	171	372	471	554	
544	503	271	635	566	509	
307	597	268	327	375	265	
422	611	765	464	513	495	
436	71	392	37	154	650	
799	135	385	236	381	680	
400	784	439	21	512	488	
502	735	167	199	298	453	
786	613	249	258	746	463	
496	48	89	455	314	216	
711	575	654	792	477	654	
770	495	42	429	222	648	
515	689	300	608	357	357	
555	213	407	355	386	174	
43	655	529	481	643	655	
483	773	336	427	97	789	
533	253	64	764	522	693	
378	387	29	12	186	501	
722	291	305	268	171	216	
677	346	515	131	297	789	
213	499	72	447	602	64	
251	433	654	365	634	100	
436	188	399	508	400	397	
262	242	434	501	161	636	
723	375	295	315	727	129	
28	512	467	102	492	283	
360	563	769	450	269	528	
533	507	331	310	673	71	
705	199	275	426	488	750	
222	603	49	692	395	68	
203	604	462	534	672	764	
371	45	351	632	55	635	
756	477	628	212	531	406	
500	758	500	302	198	402	
185	196	653	251	491	580	
342	746	673	423	2	12	
354	585	546	73	642	579	
129	49	105	69	667	100	
433	626	427	766	718	87	
545	350	360	553	435	50	
611	346	458	417	192	664	
798	180	540	2	412	546	
694	584	483	630	142	382	
590	543	361	316	395	628	
497	597	10	130	153	338	
786	435	543	43	717	60	
170	737	356	196	178	635	
485	460	94	635	576	576	
617	187	177	120	30	106	
664	75	611	605	165	113	
178	500	270	594	1	618	
547	401	131	792	792	495	
392	103	417	541	351	111	
701	257	188	529	649	260	
725	270	694	695	678	258	
340	351	468	257	13	132	
623	652	622	433	720	207	
0	425	738	154	533	199	
477	634	318	271	781	115	
729	407	593	189	8	428	
319	441	125	66	230	430	
113	795	171	515	436	627	
533	475	766	230	324	521	
356	735	443	622	487	29	
382	374	742	356	631	651	
19	542	435	20	483	76	
681	655	159	493	763	582	
344	105	373	304	247	730	
18	231	370	24	29	97	
731	416	469	141	755	128	
106	780	731	225	356	234	
459	753	292	311	635	557	
418	711	286	200	340	610	
111	58	368	392	420	263	
72	453	703	106	725	781	
452	798	175	468	36	778	
248	780	279	711	440	28	
297	751	323	570	395	195	
727	421	618	344	514	737	
477	96	448	687	311	785	
769	200	413	212	265	727	
722	587	178	272	749	512	
300	145	524	231	420	499	
578	495	706	556	268	458	
364	741	225	630	616	627	
359	583	703	565	162	371	
317	648	104	762	53	586	
112	176	642	457	745	393	
776	199	519	256	24	493	
312	355	114	9	436	766	
101	69	307	514	50	773	
184	210	143	189	107	618	
327	365	677	557	382	570	
644	777	690	617	31	169	
286	507	595	119	568	416	
475	395	474	729	638	85	
318	462	706	355	386	649	
159	655	555	781	175	297	
581	534	129	604	424	558	
652	671	247	73	193	506	
258	126	601	307	524	99	
589	436	7	68	741	411	
506	735	488	126	676	351	
338	216	283	434	196	277	
493	681	116	54	744	717	
613	705	85	376	82	136	
798	151	388	180	784	538	
451	333	412	372	713	777	
312	406	242	144	739	323	
144	360	677	399	699	385	
180	313	741	382	83	770	
171	446	501	8	71	711	
511	484	130	143	268	540	
40	614	362	454	532	355	
481	187	42	169	372	83	
195	405	512	450	259	487	
257	494	742	619	20	780	
537	3	631	343	486	754	
237	108	263	616	638	676	
411	357	90	79	342	748	
126	425	626	422	527	668	
100	271	260	210	586	321	
704	533	96	442	316	70	
113	45	227	54	523	483	
183	579	555	107	498	722	
599	197	487	38	363	167	
326	475	43	682	478	482	
600	724	540	185	542	642	
722	645	9	722	500	175	
695	523	795	56	201	201	
684	26	179	745	339	669	
307	781	552	755	62	492	
20	561	726	281	589	554	
280	142	541	169	369	150	
737	778	465	340	717	662	
151	595	173	90	236	618	
678	771	108	139	666	760	
639	553	747	755	743	452	
183	765	433	787	385	5	
397	460	272	29	27	594	
433	562	411	764	664	102	
167	606	36	299	349	151	
128	733	787	726	613	733	
79	233	157	710	783	355	
450	686	770	681	229	59	
538	26	747	319	537	185	
658	625	488	120	465	489	
679	771	509	664	766	133	
712	386	530	571	67	665	
148	692	612	535	83	97	
131	343	49	287	607	657	
307	253	126	753	594	108	
593	786	303	419	533	92	
68	556	758	758	277	15	
78	618	517	56	12	277	
4	615	655	487	262	501	
305	509	431	574	417	24	
683	655	392	633	122	460	
589	220	744	190	597	398	
731	184	642	557	293	741	
60	507	186	496	
